from:	1995-07-26	to:	1995-08-02	avg:	244

from:	1995-07-27	to:	1995-08-03	avg:	244

from:	1995-07-28	to:	1995-08-04	avg:	548

from:	1995-07-29	to:	1995-08-05	avg:	895

from:	1995-07-30	to:	1995-08-06	avg:	1133

from:	1995-07-31	to:	1995-08-07	avg:	1507

from:	1995-08-01	to:	1995-08-08	avg:	2046

from:	1995-08-02	to:	1995-08-09	avg:	2207

from:	1995-08-03	to:	1995-08-10	avg:	2488

from:	1995-08-04	to:	1995-08-11	avg:	2502

from:	1995-08-05	to:	1995-08-12	avg:	2429

from:	1995-08-06	to:	1995-08-13	avg:	2389

from:	1995-08-07	to:	1995-08-14	avg:	2231

from:	1995-08-08	to:	1995-08-15	avg:	1995

from:	1995-08-09	to:	1995-08-16	avg:	1917

from:	1995-08-10	to:	1995-08-17	avg:	1897

from:	1995-08-11	to:	1995-08-18	avg:	1850

from:	1995-08-12	to:	1995-08-19	avg:	1834

from:	1995-08-13	to:	1995-08-20	avg:	1846

from:	1995-08-14	to:	1995-08-21	avg:	1950

from:	1995-08-15	to:	1995-08-22	avg:	1952

from:	1995-08-16	to:	1995-08-23	avg:	1927

from:	1995-08-17	to:	1995-08-24	avg:	2011

from:	1995-08-18	to:	1995-08-25	avg:	2162

from:	1995-08-19	to:	1995-08-26	avg:	2348

from:	1995-08-20	to:	1995-08-27	avg:	2512

from:	1995-08-21	to:	1995-08-28	avg:	2609

from:	1995-08-22	to:	1995-08-29	avg:	2715

from:	1995-08-23	to:	1995-08-30	avg:	2847

from:	1995-08-24	to:	1995-08-31	avg:	3097

from:	1995-08-25	to:	1995-09-01	avg:	3205

from:	1995-08-26	to:	1995-09-02	avg:	2761

from:	1995-08-27	to:	1995-09-03	avg:	2387

from:	1995-08-28	to:	1995-09-04	avg:	1970

from:	1995-08-29	to:	1995-09-05	avg:	1559

from:	1995-08-30	to:	1995-09-06	avg:	1125

from:	1995-08-31	to:	1995-09-07	avg:	530

